"2019-01-24 07:33:41 [main] INFO  c.s.nextevent.NexteventApplication - Starting NexteventApplication on BLR-STR-SANJU with PID 24953 (/home/sanju/Music/APIEureka/eventbrite-service/target/classes started by sanju in /home/sanju/Music/APIEureka)
""2019-01-24 07:33:41 [main] DEBUG c.s.nextevent.NexteventApplication - Running with Spring Boot v2.1.1.RELEASE, Spring v5.1.3.RELEASE
""2019-01-24 07:33:41 [main] INFO  c.s.nextevent.NexteventApplication - No active profile set, falling back to default profiles: default
""2019-01-24 07:33:42 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-01-24 07:33:42 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43ms. Found 1 repository interfaces.
""2019-01-24 07:33:43 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
""2019-01-24 07:33:43 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-01-24 07:33:43 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
""2019-01-24 07:33:43 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib]
""2019-01-24 07:33:43 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-01-24 07:33:44 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
""2019-01-24 07:33:44 [cluster-ClusterId{value='5c491d004b5b6d61793cf967', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:683}] to localhost:27017
""2019-01-24 07:33:44 [cluster-ClusterId{value='5c491d004b5b6d61793cf967', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 8]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2069973}
""2019-01-24 07:33:44 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
""2019-01-24 07:33:44 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-01-24 07:33:45 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2019-01-24 07:33:45 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2019-01-24 07:33:45 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2019-01-24 07:33:45 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
""2019-01-24 07:33:45 [main] INFO  c.s.nextevent.NexteventApplication - Started NexteventApplication in 3.97 seconds (JVM running for 5.985)
""2019-01-24 07:34:39 [Thread-4] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2019-01-24 07:34:45 [main] INFO  c.s.nextevent.NexteventApplication - Starting NexteventApplication on BLR-STR-SANJU with PID 25386 (/home/sanju/Music/APIEureka/eventbrite-service/target/classes started by sanju in /home/sanju/Music/APIEureka)
""2019-01-24 07:34:45 [main] DEBUG c.s.nextevent.NexteventApplication - Running with Spring Boot v2.1.1.RELEASE, Spring v5.1.3.RELEASE
""2019-01-24 07:34:45 [main] INFO  c.s.nextevent.NexteventApplication - No active profile set, falling back to default profiles: default
""2019-01-24 07:34:46 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-01-24 07:34:46 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46ms. Found 1 repository interfaces.
""2019-01-24 07:34:47 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
""2019-01-24 07:34:47 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-01-24 07:34:47 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
""2019-01-24 07:34:47 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib]
""2019-01-24 07:34:47 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-01-24 07:34:47 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
""2019-01-24 07:34:47 [cluster-ClusterId{value='5c491d3f4b5b6d632a7e60b2', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:685}] to localhost:27017
